year,TAC,blTAC,glTAC
1992,2100,,
1993,2100,,
1994,2100,,
1995,2100,,
1996,2100,,
1997,2520,,
1998,2520,,
1999,2520,,
2000,2730,2590,140
2001,2800,2660,140
2002,2537.5,2397.5,140
2003,2607.5,2467.5,140
2004,2509.5,2380,129.5
2005,2502.5,2380,122.5
2006,2502.5,2380,122.5
2007,2502.5,2380,122.5
2008,2593.5,2471,122.5
2009,2604,2481.5,122.5
2010,2660,2527,133
2011,2565.5,2422,143.5
2012,2366,2226,140
2013,2149,2009,140
2014,1932,1792,140
2015,1855,1715,140
2016,1694,1554,140
2017,1561,1421,140
2018,1333.5,1200.5,133
2019,1333.5,1200.5,133
